PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Gary Harris,DEN,24,57,38,19,28.8,111.6,105.3,6.2,11.0,1.87,14.2,2.4,7.0,4.7,7.6,48.8,52.6,19.5,99.40,7.6
Shelvin Mack,CHA,29,57,22,35,21.9,99.3,108.4,-9.1,24.1,2.77,26.7,1.4,6.9,4.2,9.6,46.2,48.9,17.9,98.15,7.7
Tyler Johnson,PHX,27,57,26,31,26.8,104.4,108.4,-4.0,16.5,2.16,20.1,2.1,8.7,5.3,9.3,49.8,53.2,18.0,101.07,8.5
Anthony Davis,NOP,26,56,25,31,33.0,113.5,110.1,3.4,18.6,1.95,14.1,8.9,24.9,17.0,7.3,54.0,59.7,28.8,103.73,19.7
Ish Smith,DET,30,56,33,23,22.3,110.8,108.1,2.7,24.3,3.33,26.0,1.7,9.7,5.5,7.8,46.4,48.5,19.3,98.67,8.6
Jonathon Simmons,PHI,29,56,25,31,19.0,101.9,107.2,-5.3,17.5,1.88,21.8,2.4,9.0,5.7,11.6,42.0,46.6,18.2,102.38,6.0
Otto Porter Jr.,CHI,26,56,25,31,30.1,111.2,111.6,-0.4,10.0,1.85,13.9,3.1,15.3,9.2,7.5,54.6,56.9,18.5,103.07,10.3
Semi Ojeleye,BOS,24,56,39,17,10.6,106.3,100.2,6.0,5.4,1.21,10.6,3.8,9.3,6.7,8.7,51.3,53.1,13.7,101.90,5.7
Shabazz Napier,BKN,27,56,26,30,17.6,105.6,104.3,1.3,23.5,2.17,20.3,1.7,7.9,4.7,9.4,47.6,53.4,23.4,102.80,10.6
Tony Parker,CHA,37,56,30,26,17.9,107.4,107.5,-0.1,33.1,2.76,25.9,1.3,6.7,4.0,9.4,47.4,51.2,24.7,101.52,10.9
James Johnson,MIA,32,55,27,28,21.2,103.2,107.9,-4.6,16.7,1.82,21.8,1.8,12.3,7.1,12.0,49.9,52.2,17.7,99.11,7.9
LeBron James,LAL,34,55,28,27,35.2,109.6,107.6,2.0,37.6,2.30,23.6,2.9,19.3,11.4,10.2,56.0,58.8,31.1,104.12,18.8
Taurean Prince,ATL,25,55,19,36,28.2,108.4,115.4,-6.9,10.7,1.18,13.8,1.3,11.0,6.0,11.7,54.5,57.5,19.0,106.26,7.5
Tyson Chandler,LAL,36,55,26,29,15.9,102.5,104.4,-1.9,5.7,0.88,16.8,9.4,21.3,15.4,19.1,61.6,63.0,8.4,105.25,8.5
Bismack Biyombo,CHA,26,54,24,30,14.5,104.1,111.8,-7.7,6.4,0.97,12.5,9.9,20.5,15.1,12.9,57.1,60.2,12.8,98.68,8.5
CJ Miles,MEM,32,53,33,20,16.2,103.8,105.5,-1.7,6.1,1.20,9.0,1.4,9.0,5.1,7.5,46.8,50.4,17.3,104.03,5.6
Dennis Smith Jr.,NYK,21,53,21,32,28.5,102.4,107.7,-5.3,27.8,1.64,22.4,2.0,7.5,4.8,13.7,47.9,50.2,24.2,101.30,8.4
E'Twaun Moore,NOP,30,53,21,32,27.6,111.3,111.6,-0.3,9.3,1.73,14.2,2.3,5.8,4.1,8.2,55.3,56.7,17.0,104.07,6.7
Elie Okobo,PHX,21,53,7,46,18.1,101.1,111.1,-9.9,19.8,1.84,25.0,1.2,9.2,5.1,13.6,46.0,48.9,16.8,101.12,5.3
Quincy Pondexter,SAS,31,53,29,24,5.5,99.2,101.4,-2.2,12.1,1.85,20.9,2.8,12.3,7.7,11.3,55.2,64.1,12.9,102.62,9.0
Wayne Ellington,DET,31,53,26,27,24.5,106.7,107.1,-0.5,8.6,1.80,12.3,1.0,7.3,3.9,6.8,55.4,56.9,16.7,98.49,7.5
Brandon Ingram,LAL,21,52,25,27,33.9,107.3,108.8,-1.5,12.7,1.19,13.5,2.2,11.3,6.9,11.3,51.8,55.5,22.7,104.41,9.2
Lauri Markkanen,CHI,22,52,16,36,32.3,106.8,112.3,-5.5,7.0,0.88,7.3,4.3,23.4,13.8,8.2,50.6,55.3,24.5,99.33,12.5
Troy Brown Jr.,WAS,19,52,20,32,14.0,110.0,110.3,-0.3,14.7,2.67,22.0,4.5,14.9,9.5,8.2,46.2,48.7,15.8,103.04,7.7
Amir Johnson,PHI,32,51,32,19,10.4,104.7,109.7,-5.0,15.6,1.33,21.4,8.4,18.5,13.3,16.1,54.1,57.4,16.9,105.63,8.0
Aron Baynes,BOS,32,51,32,19,16.1,110.0,102.2,7.7,9.2,1.43,16.3,10.3,17.5,13.9,11.5,51.8,56.7,14.7,102.92,8.3
David Nwaba,CLE,26,51,14,37,19.3,108.1,111.9,-3.8,7.7,1.86,14.1,3.9,12.8,8.2,7.6,52.7,55.8,14.1,98.51,7.1
Derrick Rose,MIN,30,51,24,27,27.3,111.5,110.8,0.7,24.4,2.68,19.6,2.2,7.0,4.6,7.3,51.8,55.7,26.1,103.61,12.8
Dirk Nowitzki,DAL,41,51,17,34,15.6,104.8,109.7,-4.8,6.8,1.94,7.8,0.6,18.0,9.2,4.0,44.4,46.9,21.7,101.08,7.3
